Country,Statement
New Zealand,"Mr. President, [and Secretary-General if present], New Zealand welcomes the convening of this General Assembly Emergency Special Session. We regret the UN Security Council has been unable to perform its responsibility to act on behalf of all Member States. Therefore, it is incumbent upon us all as members of the General Assembly to exercise our collective political responsibility under the UN Charter to address matters of international peace and security. President, even as this meeting convenes, the conflict in Israel and Palestine escalates, the humanitarian crisis worsens, and civilian lives continue to be needlessly lost. It is intolerable to see civilians, many of whom are children and infants, continue to suffer disproportionately as innocent victims of this conflict. As I said in the Security Council two days ago, New Zealand condemns absolutely Hamas¡¯ terrorist attacks on Israel. We are appalled by their brutality, their targeting of civilians, and the taking of hostages. These are clear violations of international law. We call for the immediate and unconditional release of all hostages. We support Israel¡¯s right to defend itself, in full compliance with international law, including in respect of actions taken in Gaza. Ultimately, no military solution will bring about a just and lasting peace for Israelis and Palestinians. The protection of civilians and delivery of humanitarian assistance is the most urgent priority. New Zealand joins calls for a humanitarian pause and humanitarian corridors to enable unhindered and sustained assistance and protection, in line with humanitarian principles, to those who desperately need it. We recognise the bravery of humanitarian workers who are working tirelessly in extraordinarily difficult circumstances to provide much needed assistance. We are deeply saddened that so many have been killed in the line of duty since the despicable events of 7 October. When New Zealand last served on the UN Security Council in 2015-16, we championed Resolution 2286, which demands greater protection for healthcare in armed conflict, including hospitals and medical personnel. Healthcare facilities must never be used for military purposes or be the object of attack. We are deeply concerned to see hundreds of thousands of internally displaced persons. Their safety and security must be protected. We call for the establishment of designated safe areas that are strictly off limits as targets, or for military use. We expect Israel and Hamas to act in accordance with international humanitarian law, which imposes obligations upon all parties engaged in armed conflict. The Palestinian people must not suffer for the atrocities of Hamas, even as Hamas exploits those same civilians as human shields. Israel also has an obligation under international humanitarian law, particularly the Fourth Geneva Convention, to provide basic needs for civilians in Gaza including food, water, energy, and shelter, and to facilitate humanitarian aid. New Zealand urges all parties, including Israel and Egypt, to continue to facilitate access for the delivery of urgent humanitarian assistance to civilians in Gaza. As the Under Secretary-General for Humanitarian Affairs and Emergency Relief Coordinator has observed, seeing more aid and supplies entering Gaza is ¡°another glimmer of hope for the millions of people in dire need of humanitarian aid¡±. At the same time, ¡°they need more, much more¡±. For our part, New Zealand is supporting humanitarian appeals for populations in Gaza, the West Bank and Israel. We stand ready to increase our support in the coming weeks. This is not a time for political posturing or for using this conflict to advance any cause except bringing peace and security to Israel, Gaza, and the wider region. It is a time for de-escalation. Finally, New Zealand remains committed to a two-state solution, which envisions an independent State of Palestine living in peace and security alongside the State of Israel. A new political horizon is essential. We call on the international community to take urgent action to advance the Middle East Peace Process. Without it, the armed conflict may eventually cease, but there will be no winners: we will never be free of the violence, the loss of innocent lives, the antisemitism, and the Islamophobia that has erupted in Israel, the Occupied Palestinian Territories, and around the world since 7 October. As the Secretary-General has said, ¡°We cannot lose sight of the only realistic foundation for a true peace and stability: a two-State solution.¡± Thank you."
Cambodia,"Mr. President of the General Assembly,
Distinguished Delegates,
1. It is my honor to address this meeting in the name of a country -
Cambodia that not so long ago was consumed by decades of wars, the
killing field where those ¡°labeled¡± as the oppressed and oppressors were
devoured by the intense flame of hatred, vengeance, and extremism that
fed the most heinous crimes against humanity.
2. My delegation mourns the loss of so many innocent human lives,
including one Cambodian since October 7 until now, and also earlier,
both in the state of Israel and the state Palestine. The Palestine-Israel
conflict is a very complex and delicate issue. Therefore, Cambodia wishes to
make its own principled position in this regard, instead of joining the
statement made in the name any group.
3. Cambodia condemns all acts of terrorism and violence against innocent
civilians, regardless of their race, culture or religion. We are deeply
concerned by the escalation of violence, continued suffering and loss of
innocent human lives-women, children, babies and the elderly on the
lands of the present conflict.
4. Hatred and vengeance feed another cycle of hatred and vengeance. A war
cannot end a war and bring lasting peace and harmonious co-existence.
My delegation can feel the fire of anger, the pain and agony of all; and we
can only appeal and hope for the sense of moderation to prevail. Now
more than ever, it is of paramount importance to address the root causes
of the Palestine-Israel conflict, to enable both the peoples of Israel and
Palestine to co-exist side by side in harmony.
5. Mr. President, allow me to reiterate three points which I raised during
the recent open debate of the Security Council: First, it is heartbroken to see the increasing number of civilian
casualties and the pain they endure. My delegation urges all parties
to exercise utmost restraint, abide by the international humanitarian
law and constructively engaged in dialogues to de-escalate the
deteriorating situation and achieve a ceasefire or humanitarian
pause. We must make utmost effort to avoid the widening of the
war, and fully appreciate the concerns and legitimate aspiration of
all equally, so as to end the cycle of violence.
? Second, civilian lives and safety must be protected from harm in
conflicts. My delegation urges for the release of all civilian taken
hostage. We call on all sides not to target civilians and civilian
infrastructure and to allow unimpeded humanitarian access for the
delivery of essential aid such as food, water and medicines to those
in need, in accordance with international humanitarian law.
? Third, we call the international community to unite in a spirit of
genuine solidarity and sincerity, to foster a meaningful dialogue
and negotiations leading to a just and lasting peace.
6. Please, stop finger pointing, please give peace a chance, please allow love
for humanity to prevail for all the people on earth, regardless of their race
and faith. Please, empower the forces of moderation, to allow the people
Israel and Palestine to live side-by-side in lasting peace, security and
harmony.
7. Again, my delegation salutes the dedication and sacrifice of the UN staff
and those of humanitarian agencies who brave formidable risks and
danger to provide relief to the innocent civilians.
Thank you!"
Ireland,"President,
At the outset, allow me to thank you for convening this
crucial debate under the resumed 10th Emergency Special
Session of the General Assembly.
I also express my thanks to the Secretary-General and
commend his leadership and personal commitment to the
protection of civilians, access of vital humanitarian aid to
Gaza, and the resolution of the conflict.
President,
Ireland unreservedly condemns the heinous and barbaric
acts by Hamas on 7 October. The deliberate taking of
hostages, including children and the elderly, is simply
unconscionable. We call for the immediate and
unconditional release of all hostages. In the face of such appalling attacks, Israel has the right to
defend itself, but must comply with international law, in
particular international humanitarian law.
We stress the applicability of international humanitarian law
to all armed conflict. This includes the prohibition on the
targeting of civilians, the prohibitions on indiscriminate and
disproportionate attacks, the prohibition on collective
punishment, and the prohibitions on the taking of hostages
and the use of ¡°human shields¡±. These are obligations that
bind all parties to armed conflict: state and non-state actors
alike.
Earlier this week, we heard yet another deeply concerning
briefing from Special Coordinator Wennesland on the
situation on the ground. We are also highly troubled about
the impact of recent events on regional stability and call on
all regional and international actors to act responsibly.
President,
We are gravely concerned about the situation in Gaza and the
particular impact of the conflict on children. We renew our
call on Israel to end the blockade of Gaza and to allow
meaningful humanitarian access, especially of fuel, to enable
hospitals and relief organisations to function. Civilians in Gaza must have access to basic necessities: water,
medicine, food and fuel. There must be rapid, safe and
unhindered humanitarian access for the benefit of civilians in
the Gaza Strip.
Ireland again echoes the Secretary-General¡¯s call for a
humanitarian ceasefire or a humanitarian pause, to ensure
that the humanitarian needs of the population can be
comprehensively met.
We offer our deepest condolences to the families of the
UNRWA staff who have lost their lives during this conflict and
commend UNRWA and all other UN and humanitarian
personnel on the ground for their selfless work in support of
the people of Gaza and across the Middle East.
In response to the unprecedented humanitarian catastrophe
unfolding in the Gaza Strip, Ireland announced an immediate
package of ¢æ13 million last week - ¢æ10 million for UNRWA and
¢æ3 million for UN OCHA¡¯s Palestine Humanitarian Fund. We
urge other partners to also step up and support.
We are also highly concerned at the serious increase in
violence in the West Bank, including further forced
displacement of Palestinian communities. President, a comprehensive, just and lasting peace in the
Middle East may seem further away than ever. However, we
must all work towards this end.
Lasting peace can only be based on an enduring commitment
to mutual recognition, freedom from violence, incitement,
and terror, and the two-State solution. We re-affirm our
support for these principles.
Ireland¡¯s position on how to achieve this is longstanding and
based on respect for international law and the agreed
international parameters.
The two-State solution, ending the occupation, that meets
Israeli and Palestinian security needs and Palestinian
aspirations for statehood and sovereignty, based on the 1967
borders, and with Jerusalem as the capital of both states,
offers the only prospect for sustainable peace.
Ireland has consistently opposed all uses of the veto and will
continue to do so. We welcome these General Assembly
Debates as a means of calling the Permanent Members to
account when they prevent the Council from taking action in
defence of international peace and security.
Thank you, President."
Singapore,"Mr President,
1 Singapore welcomes the convening of this Emergency Special Session of
the General Assembly. We are disappointed that the Security Council, which had
met on several occasions to discuss this issue, was not able to agree on a prompt
and united response.
Mr President,
2 At the outset, I wish to express Singapore¡¯s utmost support for the efforts
of the UN Secretary-General to sustain the flow of humanitarian assistance to the
civilians affected by this terrible tragedy in Gaza. We commend the SecretaryGeneral for his leadership role in facilitating the flow of humanitarian assistance
and recognize the important contributions made by UN agencies and other
humanitarian organisations on the ground. We support all efforts to defuse
tensions in order to avoid an escalation of the conflict.
Mr President,
3 Respect for the UN Charter and for international law has always been a
fundamental guiding principle of Singapore¡¯s foreign policy. The UN Charter and
international law provide the foundation for international peace and security.
4 On the 7th of October, Hamas carried out a major coordinated terrorist
attack on Israel - deliberately targeting civilians, murdering and kidnapping them
and perpetrating abhorrent acts of terror. We mourn the loss and suffering of so
many innocent civilians, including children and the elderly. This attack cannot
be condoned or justified by any rationale. We condemn this terrorist attack in the
strongest possible terms. We also call for the immediate and safe release of all
hostages taken by Hamas. 5 In this regard, it is worth recalling that just in June this year, the General
Assembly adopted a resolution on the Global Counter Terrorism Strategy. This
calls for the international community to reiterate its ¡°strong and unequivocal
condemnation of terrorism in all its forms and manifestations, committed by
whomever, wherever and for whatever purposes¡±1
.
Mr President,
6 Under international law, Israel has the legitimate right to defend its citizens
and its territory. However, Israel also has an obligation to comply with
international humanitarian law. All parties must abide by international
humanitarian law and do their utmost to protect the safety and security of civilians.
We welcome all efforts to establish and uphold safe zones and routes that will
keep civilians out of harm¡¯s way and allow for the delivery of humanitarian
assistance.
7 Singapore is deeply saddened by the dire humanitarian situation in the
Gaza Strip and the loss of so many civilian lives. This is a massive humanitarian
crisis. We urge all parties involved to allow the rapid, safe and unhindered
delivery of humanitarian aid and essential services to the civilian population in
the Gaza Strip. The Singapore Government has made a financial contribution to
support humanitarian relief operations through the Singapore Red Cross. Many
Singaporeans have also made their own contribution to the relief operations and
it is our hope that their contributions will reach those in need quickly.
Mr President,
8 The Israeli-Palestinian conflict is a longstanding one, and it must be
resolved in accordance with international law and relevant UN Security Council
resolutions. This is the only way to stop the repeated cycles of violence.
9 Singapore¡¯s position on the Israeli-Palestinian conflict has been consistent.
We continue to hold the view that the only viable path to a durable, just, and
comprehensive solution is a negotiated two-state solution, consistent with the
relevant UN Security Council resolutions. We support the right of the Palestinian
people to a homeland, and Israel¡¯s right to live within secure borders. Both
Palestinians and Israelis deserve to live in peace, security, and dignity. We call on leaders from both sides to show leadership, to exercise restraint and to take the
difficult but necessary steps towards the vision of a two-state solution.
10 Thank you. "
EU,"Mr President,
The Candidate Countries North Macedonia?
, Montenegro?
, Albania?
, Ukraine, the Republic of
Moldova, as well as Andorra, Monaco and San Marino align themselves with this statement.
Thank you for giving me the floor and for convening this Emergency Special Session, as the
situation is deeply alarming and risks spiralling out of control throughout the region. And I want
to take the opportunity to thank the UN and all its personnel for their relentless work on the
ground, often at the risk of their lives, as well as the tireless efforts of the Secretary-General to
deescalate the conflict.
We regret that the use of vetoes has prevented the Security Council's efforts from addressing the
situation and from fulfilling its mandate and responsibility. This dramatic conflict and
humanitarian situation would have required a united, timely and strong message by the Council,
which the latter failed to deliver. This is deeply regrettable. We know that efforts are still
underway to have a product at the Council, and we encourage Council members to find a
common position.
The EU¡¯s position is well known. The European Union reiterates its condemnation in the strongest
possible terms of Hamas for its brutal and indiscriminate terrorist attacks across Israel. The use
of civilians as human shields by Hamas is a particularly deplorable atrocity.
The EU strongly emphasises Israel¡¯s right to defend itself in line with
international law and international humanitarian law. It reiterates its call on Hamas to
immediately release all hostages without any precondition.
The EU reiterates the importance of ensuring the protection of all civilians at
all times in line with international humanitarian law. It deplores all loss of civilian life.
The EU expresses its gravest concern for the deteriorating humanitarian
situation in Gaza and calls for continued, rapid, safe and unhindered humanitarian access and
aid to reach those in need through all necessary measures including humanitarian corridors
and pauses for humanitarian needs. The European Union will work closely with partners in
the region to protect civilians, provide assistance and facilitate access to food, water, medical
care, fuel and shelter, ensuring that such assistance is not abused by terrorist organisations.
The EU recalls the need to avoid regional escalation and to engage with
partners in this respect including with the Palestinian Authority.
The EU is ready to contribute to reviving a political process on the basis of the
two-state solution, including through the Peace Day Effort, and welcomes diplomatic peace
and security initiatives and supports the holding of an international peace conference soon.
The EU stresses the need to fight dissemination of disinformation and illegal
content, and highlights the legal responsibility of platforms in this context.
We understand the rationale to have a resolution at the UNGA, in the absence of one at the
Security Council. We engaged constructively and have proposed amendments.
The above priorities in addition to the points we made over the last weeks will guide our approach
to the draft resolution put forward.
The purpose of the UN is to overcome divisions."
Malta,"President, Excellencies We have convened here today as we collectively grieve for the thousands of Israeli and Palestinian civilians who have lost their lives since 7 October. This is one of the darkest and most volatile periods the Middle East has seen in recent years. Hamas¡¯ heinous and terrorist crimes on 7 October as well as the indiscriminate rocket fire on civilians in Israel, which we condemn in the strongest possible terms, will resonate for generations, manifested as trauma, anguish, anger, and heartbreak. Many Israelis are still living the nightmare of knowing that their loved ones continue to suffer. Terror has no justification, and we must be clear in rejecting it. Hamas must immediately and unconditionally release all hostages. Israel has the right to self-defence, in line with international humanitarian law, including the principles of distinction, necessity, and proportionality. On the other side of Gaza¡¯s walls, it is not only hostages who are suffering. Millions of Palestinian civilians are under siege, with extremely limited access to water, food, fuel, electricity, medicine, or shelter, if any.  In conformity with international law, all parties are obliged to ensure that civilians are protected. We must urgently and genuinely address the humanitarian crisis in Gaza.
Malta continues to strongly call for the establishment of a humanitarian ceasefire and humanitarian corridors. People must be allowed to bury their dead. Hospitals need fuel and anaesthesia. Over two million people require sustenance. Sustained provision of life-saving services is paramount.
The protection of humanitarian facilities, such as hospitals and designated safe zones, and the unimpeded access for humanitarian and UN personnel, including aid convoys is also critical. We are devastated to learn that 35 UNRWA humanitarians have lost their lives in Gaza. We commend the Agency for its heroic work these past weeks. As diplomats, we urgently need to do our job, to allow them the ability to keep doing theirs.
Malta welcomes current efforts towards allowing humanitarian aid into Gaza through Rafah and commends all partners involved. However, we note the current volume of aid is limited and needs to be adequately scaled-up.
This crisis is also having a devastating impact on women and children. [Some 50,000 women in Gaza are currently pregnant. More than 3,000 children have lost their fathers.] Ensuring that humanitarian supplies are gender responsive, and that women are involved in distribution, is essential for meeting the needs of women and girls, who are at higher risk of genderbased violence and psychological trauma.  President
The conflict has reawakened tangible risks of regional fissures and increased further uncertainty in an already turbulent world.
We must collectively unite to mitigate any risks or miscalculations which may lead this conflict to spill-over into the West Bank, or into the broader Middle East region. We call for all parties to exercise restraint, de-escalate, and respect the norms of international law.
In view of such urgent necessities and risks, Malta is now closely working together with the Elected Members of the Security Council on a text that we hope can garner consensus, and address the situation on the ground.
Palestinians have for far too long dreamt of a reality which embraces their legitimate aspirations, which isn¡¯t choked by decades of occupation, violence, and displacement. A reality which ensures the dignity of their children.
Israelis too deserve to live in peace and security, without being held hostage by terror.
To this end, Malta remains committed to a lasting and sustainable peace in the Middle East. A peace which is based on a two-State solution along the pre-1967 borders, addressing the legitimate aspirations of both sides, with Jerusalem as the future Capital of two States, living side-by-side in peace and security, in line with the relevant Security Council resolutions and internationally agreed parameters.  Peace is not optional and demands to be steered by a recognition of our common humanity.
I thank you. "
Iceland,"Mr. President, We are convening this Emergency Special Session meeting against the backdrop of another great tragedy for millions of Israelis and Palestinians and a disappointing impasse in the Security Council. Iceland supported the amendment proposed by Canada, which would have added a much-needed context and balance to the resolution. Iceland regrets that the amendment did not pass. Without the inclusion of those essential elements, Iceland decided to abstain on the resolution tabled by Jordan despite supporting many of its key elements, notably on the humanitarian front. It is unfortunate that consensus could not be reached on a resolution to address the grave humanitarian situation and the need for concrete action to protect civilians and facilitate the safe delivery of humanitarian assistance. Mr. President, Iceland joins the calls for humanitarian pause to facilitate the safe delivery of humanitarian aid throughout Gaza. Safe and unimpeded humanitarian access must be ensured. Civilians and civilian objects, medical personnel and humanitarian workers and assets must be protected. We deplore the immense suffering of innocent civilians and the thousands, including women, children and UN personnel, that have been killed. We are alarmed by the impact of mass evacuations of civilians in Gaza. We must prevent further escalation, for the sake of Israelis, Palestinians, and the
wider region. Across the world, this continuous violence is fuming the flames of hate,
Antisemitism, Islamophobia, and racism.
Mr. President,
Iceland is grateful to the UN Secretary-General for his tireless efforts to ensure the
urgent delivery of life-saving humanitarian assistance to the civilian population of
Gaza. We echo his calls for humanitarian aid to the civilian population of Gaza so
desperately in need of food, water, shelter, and medical care.
We welcome the opening of the Rafah crossing and we commend the humanitarian
personnel working night and day to facilitate the urgent delivery of humanitarian
assistance. More aid is needed, and it is needed now. Time is running out.
Iceland has responded to UN emergency appeals with an additional contribution to
UNRWA, our long-standing humanitarian partner and the lead UN agency mandated
with supporting Palestine refugees. We urge other donors to step up their support to
UNRWA¡¯s critical front-line delivery of aid to the people of Gaza.
Mr. President,
We must break out of this vicious cycle of violence and work towards a sustainable
political solution. The international parameters for a long-term, sustainable solution
to the conflict are clear: A two-state solution, based on international law, with Israel
and Palestine living side by side in peace and security, and mutual recognition.
Even in the midst of crisis, we must not give in to violence and hate. We must not
lose hope even when peace seems unrealistic and distant. We must put the peace
process back on track. Otherwise, we run the risk of perpetuating the cycle of
violence and humanitarian conditions deteriorating even further ? to the detriment of
everyone.
Thank you."
Poland,"Mr. President, Multilateralism has always been the foundation of Poland's activity at the UN, and our actions have been guided by the principles contained in the Charter of the United Nations. Therefore, we fully support all international efforts aimed at restoring peace. Poland follows with great concern the current devastating crisis in the Middle East. We know very well the consequences of war, invasion and terror, which are felt for generations. Now, in this critical time we should make every effort to reach the cessation of hostilities and to return to a diplomatic path of this dispute. Mr. President, Poland decided to abstain on this resolution, as we believe that the path to peace requires including several key elements missing in the text. First, the submitted proposal lacks a clear condemnation of the Hamas attack of October 7 this year. Terrorism aiming at the civilian population cannot be tolerated under any circumstances, and that is why Poland condemned the brutal attacks on civilians carried out by Hamas on its very onset. Second, it should be stated clearly that Israel ? just as any other state - has the right to defend itself and its citizens in compliance with the international law and international humanitarian law. Third and lastly, we are also joining all those calling for immediate and unconditional release of all hostages taken by Hamas. Among them there is one Polish citizen, a distinguished historian working for Yad Vashem. We expect Mr. Alex Dancyg to return home safe and sound. Nevertheless, we largely agree with the humanitarian provisions of the presented resolution. For decades, Poland has been involved in humanitarian and development aid projects in the Middle East, with particular focus on Palestine and Lebanon. Poland¡¯s yearly contributions to UNRWA, which we have decided to supplement with fresh USD 250 thousand, are a clear proof of our wider political commitment to the stabilization of the Middle East.In this context, we were satisfied to see the opening of the Rafah crossing last week, and the first convoys of aid trucks entering Gaza. However, the flow of
humanitarian aid into the Strip must continue and rise.
We strongly believe that the lives of civilians, on both sides, must be protected
in accordance with international law and international humanitarian law. The
nearly complete blockade of the Gaza Strip, which hinders the imports of food,
water, medicine, and electricity, must end immediately. The strategy of
collective punishment that puts civilians at risk is a wrong one.
We should make every effort to reach the cessation of hostilities and to return
to a diplomatic path of this dispute. We fully believe that within the UN we ? as
international community ? should be able to develop a common position on this
extremely important issue. Otherwise, escalation and spreading of the conflict
may have devastating and long-lasting consequences.
In this vein, Poland remains open to constructive cooperation and committed to
a negotiated and viable two-state solution built upon the internationally agreed
parameters.
I thank you."
Bulgaria,"Mr. President,
Bulgaria is gravely concerned with the rapidly deteriorating humanitarian situation in Gaza and calls
for continued, rapid, safe and unhindered humanitarian access and aid to reach those in need through
all necessary measures including humanitarian corridors and pauses for humanitarian needs.
We underline the importance of ensuring the protection of all civilians at all times in line with
international humanitarian law and deplore all loss of civilian life.
However, we must also recognize that the heinous and indiscriminate terrorist attacks of Hamas
across Israel, which we condemn in the strongest terms, brought unimaginable suffering of civilians.
The use of civilians as human shields by Hamas is a deplorable atrocity. We call for the immediate
and unconditional release of all hostages.
There is no justification for terror and Israel has the inherent right to defend itself in accordance with
international law and international humanitarian law.
Unfortunately, the resolution that was just adopted falls short of recognizing that and for those reasons
Bulgaria abstained on it.
The priority now is to prevent further escalation of the conflict. The international community should
invest more efforts in creating a real political horizon for a solution through intensive outreach and
clear messages.
We remain committed to a lasting and sustainable peace based on ¬Ñ two-state solution and the relevant
resolutions of the UN Security Council. It must be made clear that there cannot be a military solution
to the Israeli-Palestinian conflict. The only way towards a just and sustainable peace is returning to
the Peace Process and taking it forward."
Portugal,"Thank you Mr. President,
[We align ourselves with the EU statement, and we would like to add the following
remarks in our national capacity.]
Mr. President,
Let me again reaffirm Portugal¢¥s unequivocal condemnation of the terrorist attacks by
Hamas, solidarity with Israel, and recognition of Israel¡¯s duty to its citizens to eliminate
the threat posed to them by Hamas lethal capabilities. Terrorism in all its forms should
be condemned and I will be very clear, hostages must be released immediately and
without preconditions. No matter the savagery of the worst terrorist attack of its history, Israel¢¥s actions must
respect International Humanitarian Law. No party to an armed conflict is above
international humanitarian law. Tragically, civilian population, hospitals, UN facilities,
including schools, and other critical and civilian infrastructures, are not being protected.
We are witnessing, beyond doubt, clear violations of International Humanitarian Law
in Gaza.
The death toll on both sides is staggering. We cannot remain indifferent to the
suffering of innocent victims, Israelis, Palestinians, and other nationalities, including
UN workers. At this moment our collective priority should be the protection of
civilians and addressing the tragic humanitarian situation on the ground.
Portugal fully supports SG Ant?nio Guterres call for a humanitarian cease fire. A large
humanitarian aid effort is needed now. Limited access will not prevent further loss of
life nor will ease the epic suffering of the civilian population in Gaza, and the current
volume of aid entering in Gaza is widely considered insufficient.
We commend the SG tireless advocacy for aid to reach the population of Gaza and
the UN work on the ground and pay our respects to those who died in the service of
UNRWA.
Mr. President,
It is also crucial to avoid the spread of the conflict. To the West Bank and beyond, by
accident or calculated action. We welcome and encourage the continuation of regional
and international efforts, both in multilateral and bilateral spheres to prevent a
spillover. We must return to the diplomatic track. Recognising the underlying problems and the
nature of the issues at stake, as rightly done by the UNSG Guterres to the Security
Council last Tuesday. This is the only way to break this cycle of violence and
extremism. As stated by Portugal at that Security Council meeting, the high
expectations created by the Oslo Accords three decades ago remain unfulfilled and
the non-violent political path has yet to be rewarded. We all must work to that end, at
the forefront those directly concerned such as neighbouring countries.
We must transform this crisis into a moment of hope and opportunity both for Israelis
and Palestinians and do our utmost in preventing that anger and confrontation
prevails. Once the guns fall silent, we cannot just go back to the status quo ex ante. It
is our collective responsibility to address the structural drivers of this conflict. This
will require a renewed involvement of all relevant actors and a determined effort to
implement the UNSC resolutions on the matter and set a clear and solid path to a
Palestinian State fulfilling the Two State Solution.
Despite the efforts made, which we recognize, the adopted UNGA resolution fails to
condemn the appalling terrorist attacks of October 7th by Hamas and the taking of
hostages. We deeply regret this. Acts of terrorism are criminal and unjustifiable
regardless of their motivations, whenever and by whomever committed. Hostage taking
constitutes a serious violation of the Geneva Conventions and a war crime under
International Criminal Law. That is why we voted in favor of the Canadian amendment.
In the aftermath of Hamas¢¥s horrific attack, a massacre that evokes some of the darkest
memories of persecution against the Jewish people, we shared in the grief of families and rightly declared solidarity with the Israeli people. The same humanity and belief in
the inherent value of every human life makes it impossible to ignore the Palestinian
suffering and the catastrophic reality today in Gaza. This human tragedy unfolding
before our eyes must be stopped now. No matter what, a humanitarian truce must be
established immediately. That is why Portugal voted in favor."
